procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0   1280 628244 884380 3276600    0    0    21   305  346  437 11  6 82  0  0
67  0   1280 418004 884464 3278680    0    0     4  7664 2522 10357 67 34  0  0  0
36  0   1280 532940 884552 3279144    0    0     0  8056 2910 14811 73 27  0  0  0
 1  0   1280 602680 884600 3278716    0    0     0  4276 1920 7466 19  8 73  0  0
 3  0   1280 603356 884644 3277752    0    0     0   984 1230 3301  7  4 88  0  0
25  0   1280 556748 884716 3275220    0    0     0  4664 2879 10910 44 14 41  1  0
39  0   1280 504308 884776 3275264    0    0     4 10016 2986 15439 72 28  0  0  0
 1  0   1280 606684 884868 3274896    0    0     0 11252 2797 14553 38 18 44  1  0
 1  0   1280 604920 884956 3275316    0    0     0  2988 1481 5029 13  8 78  1  0
 2  0   1280 604420 885036 3277524    0    0     0  7268 2374 9052 23 11 65  2  0
