Average_Resp_Time, Throughput, Successful_response, Error_Rate, Request_Sent_Rate, Average_CPU, Average_Threads
.004314,76.1315349,76.1315349,0,38.0657675,24,1
.005114,140.0012342,140.0012342,0,70.0006172,30,1
.005539,121.6494940,121.6494940,0,60.8247468,28,1
.004694,165.8750814,165.8750814,0,82.9375406,36,1
.008411,143.4149357,143.4149357,0,71.7074679,39,1
.007281,183.1427747,183.1427747,0,91.5713872,42,1
.010228,181.1025755,181.1025755,0,90.5512878,49,1
.013744,167.7906642,167.7906642,0,83.8953322,49,1
.012066,197.3945144,197.3945144,0,98.6972571,53,1
.015825,189.3623147,189.3623147,0,94.6811572,41,1
.017078,196.0440805,196.0440805,0,98.0220401,46,1
.010931,275.1901663,275.1901663,0,137.5950836,45,1
.010368,306.8982518,306.8982518,0,153.4491257,47.5,1
.015405,257.9109820,257.9109820,0,128.9554910,48.5,1
.016068,269.8563113,269.8563113,0,134.9281555,47.5,1
.012322,330.1469852,330.1469852,0,165.0734925,55.5,1
.022897,263.3185157,263.3185157,0,131.6592580,51,1
.014289,349.2881946,349.2881946,0,174.6440975,50,1
.014786,367.9903369,367.9903369,0,183.9951685,53.5,1
.014821,375.4359234,375.4359234,0,187.7179617,57,1
