num_clients,throughput,throughput_loop,responsetime,success_rate,start_time,end_time
5,529.0777416,1.6589497,0,100.00,1701147773,1701147788
15,1195.3277221,4.9423315,.01,100.00,1701147788,1701147805
25,1946.0650959,8.2797982,.01,100.00,1701147805,1701147821
35,2194.8625225,11.5711148,.01,100.00,1701147821,1701147837
45,2906.7738103,14.8753410,.01,100.00,1701147837,1701147853
55,2417.4427382,18.1291519,.02,100.00,1701147853,1701147870
65,3191.1956949,21.4264250,.02,100.00,1701147870,1701147887
75,2720.7622207,24.6626164,.02,100.00,1701147887,1701147905
85,2871.4487802,27.8836995,.03,100.00,1701147905,1701147922
95,3274.0562466,31.1602337,.03,100.00,1701147922,1701147940
105,2967.2632797,34.2257442,.04,100.00,1701147940,1701147958
115,3595.3626690,37.7131977,.03,100.00,1701147958,1701147976
125,4044.4086087,40.9350549,.03,100.00,1701147976,1701147994
135,4192.1047293,44.2491597,.03,100.00,1701147994,1701148014
145,2836.0652880,46.9144645,.05,100.00,1701148014,1701148032
155,3065.3514742,50.2783115,.06,100.00,1701148032,1701148053
165,3868.2575284,53.7600543,.05,100.00,1701148053,1701148072
175,4517.9261045,49.9665824,.97,100.00,1701151062,1701151104
220,5053.8457485,70.9873587,.07,100.00,1701151104,1701151126
265,1755.1206115,77.0886861,.64,100.00,1701151126,1701151168
310,725.6881359,88.4017752,.50,100.00,1701151168,1701151211
355,625.0147406,97.6698005,.57,100.00,1701151211,1701151238
400,472.3867499,102.0536518,.84,100.00,1701151238,1701151270
445,500.4739191,112.5623486,.89,100.00,1701151270,1701151301
490,431.6190579,116.0500440,1.13,100.00,1701151301,1701151333
535,516.3532533,129.0751014,1.03,100.00,1701151333,1701151367
580,653.6853651,143.9902071,.90,100.00,1701151367,1701151401
625,493.5528288,141.7396907,1.26,100.00,1701151401,1701151441
670,537.2558800,152.5593030,1.25,100.00,1701151441,1701151494
715,625.9475924,165.8597543,1.15,100.00,1701151494,1701151532
760,522.9393038,164.1014447,1.45,100.00,1701151532,1701151573
805,506.2791564,168.4302466,1.60,100.00,1701151573,1701151619
850,511.1242257,175.0048703,1.68,100.00,1701151619,1701151661
895,456.0163956,169.8916562,2.00,100.00,1701151661,1701151717
940,437.7688894,173.9372103,2.18,100.00,1701151717,1701151779
985,500.1333849,185.7489099,1.98,100.00,1701151779,1701151836
